Random,Desc1,Desc2,Desc3,Desc4,Desc5
0.106425632,0.926579613,0.3964647,0.271345513,0.100247645,0.66264089
0.170897145,0.47761761,0.646851248,0.528028121,0.44560021,0.589249015
0.413323739,0.275773163,0.383918528,0.053526983,0.644854677,0.556621854
0.500227573,0.783654768,0.60013975,0.592237462,0.873491491,0.048255298
0.660856206,0.857143163,0.586386345,0.656413779,0.925830969,0.196446016
0.133294468,0.420500122,0.060974539,0.504998045,0.37885876,0.711778049
0.022731956,0.231610643,0.77153402,0.090796929,0.36496593,0.897770811
0.680200952,0.814531623,0.523676155,0.888326205,0.268105165,0.728096277
0.969478575,0.222946295,0.121642229,0.765906501,0.310086952,0.738417146
0.91968638,0.257062392,0.528245088,0.917733864,0.119916027,0.973535132
0.387259954,0.047717353,0.852665053,,0.770783958,0.140852631
0.338126053,0.830209395,0.477407766,0.38266176,0.464198221,0.681877057
0.146605504,0.989064829,0.858733811,0.503237292,0.629299097,0.649891673
0.437677869,0.653630385,0.489468604,0.32621671,0.224449243,0.793147708
0.079449672,0.768986336,0.017464039,0.068330476,0.922079631,0.278404704
0.431357574,,0.403476879,0.503895462,0.377300354,0.52974368
0.593302833,0.482762917,0.92683956,0.349977581,0.939350254,0.512208743
0.613189186,0.631689716,0.063885413,0.317940674,0.940477896,0.455764001
0.57062907,0.139573889,0.173713924,0.678590556,0.083148964,0.925949364
0.148752213,0.700370581,,0.845965547,0.194179857,
0.354301625,0.466504101,0.922147335,0.72793176,0.947525714,0.874304068
0.004472589,0.953953526,0.060040059,0.972481585,0.055609469,0.306203865
0.941305002,0.74856089,0.057722102,0.44311395,0.101050762,0.88464471
0.739532789,0.816958313,0.809830472,0.425294035,0.032588032,0.88663672
0.590389423,0.993510279,0.364244211,0.269006601,0.100849906,0.731795657
0.54616901,0.513867235,0.065604655,0.199224403,0.899229506,0.336457276
0.504252002,0.240230513,0.959375417,0.217266768,0.651055756,0.376520051
0.674888972,0.973244838,0.059558621,0.816331505,0.41655039,0.321013307
0.714280764,0.723671339,0.36759127,0.320558109,,0.043092074
0.378550622,,0.588195504,0.329851283,0.098324791,0.547288356
0.565349314,0.902865711,0.229141973,0.285822221,0.139539468,0.795837982
0.85506571,0.776454463,0.664317702,0.555134319,0.258238022,0.739079313
0.009953728,0.093418431,0.712847828,0.766774933,0.46467957,0.323480432
0.861246765,0.788213478,0.934239802,0.718698363,0.96723172,0.635373308
0.512973434,0.589159122,0.040283389,0.302699879,0.978015239,0.837119807
0.032958573,0.578149168,0.160943551,0.889931253,0.894878471,0.735172387
0.152777409,0.288925702,0.296282996,0.312365364,0.947322352,0.319770377
0.868541221,0.500712887,0.381306587,0.074968792,0.470527658,0.764928298
0.406363417,0.494238304,0.518315792,0.957494592,0.519518326,0.565252045
0.718353078,,0.605797132,0.141560077,0.785519599,0.607779718
0.830144365,0.201920379,0.40162021,0.886152536,0.961048047,0.32568415
0.294354629,0.466641825,0.792529624,0.35933327,0.860174063,0.471547146
0.315132142,0.387018308,0.927700127,0.859634132,0.950569928,0.85369382
0.63637962,0.615987007,0.260069684,0.871215335,0.96237232,0.029597729
0.190185366,0.477030464,0.343860529,0.879552584,0.969486529,0.985257744
0.933972143,0.671934993,0.193122934,0.287028758,0.738317645,0.402231431
0.269805472,0.245856357,0.066428743,0.062711437,0.141371886,0.852086734
0.90692841,0.252181349,0.788378593,0.531133931,0.965250399,0.325717888
0.016056452,0.560205423,0.97920463,0.341537863,0.712478081,0.001006368
0.038689829,0.175371367,0.366780387,0.152422149,0.249960734,0.051125481
0.143330503,0.540970391,0.665815217,0.915442806,0.884325332,0.54468084
0.132894639,0.265556748,0.386791055,0.399331279,0.058614356,0.245073838
0.803002605,0.105011449,0.572825746,0.728139314,0.99214116,0.816824661
0.269796454,0.267579823,0.226782084,0.761222816,0.000212243,0.092215034
0.412974258,0.955398263,0.343739791,0.027124374,0.268313141,0.686414098
0.034379667,0.52636922,0.059981866,0.024360811,0.052940423,0.126791578
0.354226372,0.50790444,0.281612167,0.667512055,0.824668355,
0.29080028,0.328203083,0.421613957,0.615223989,0.314635708,0.846073318
0.445293383,0.602030943,0.058035805,0.011896353,0.950911609,0.036241925
0.64894843,0.576017542,0.889399199,0.169738997,0.215367605,0.702846378
0.842248466,0.477972649,0.947710696,0.027662601,0.012517446,0.981889285
0.210165552,0.519714709,0.011142311,0.348613109,0.947800913,0.247888259
0.532919118,0.169902846,0.284039987,0.0496782,0.376085902,0.641544973
0.706088935,0.337791373,0.545427108,0.066503922,0.928208366,0.136945951
0.953729759,0.17296758,0.323724035,0.559816157,0.958583679,0.789843825
0.685724,0.131975595,0.543770281,0.441926054,0.341493571,0.490143475
0.255837262,0.339837788,0.396289493,0.030416568,0.971557345,0.786783907
0.050332591,0.163713599,0.578842777,0.176333998,0.131151481,0.810984854
0.634257582,0.642481588,0.966738413,,0.45624751,0.560794506
0.251110155,0.174922914,0.477105069,0.044084813,0.098763133,0.370305781
0.976620069,0.250288703,0.318075035,,0.550047198,0.038330164
0.096372823,0.14148915,0.483549083,0.222133299,0.498434461,0.716620121
0.030086318,0.548653963,0.772131961,,0.263882413,0.055453661
0.666816899,0.232800266,0.864663526,0.104266514,0.388541946,
0.847177934,0.545287637,0.379601103,0.792971302,0.276165347,
0.607011702,0.506245922,0.831819062,0.362582785,0.683161085,0.925384907
0.259960227,0.089792217,0.071775981,0.834238181,0.34991691,0.776822567
0.565546633,0.925925475,0.288091865,0.214170908,0.629417515,0.245374574
0.778240645,0.194615043,0.344652714,0.440929514,0.339414254,0.46658257
0.861410209,0.985063223,0.473293186,0.334160255,0.265025123,0.067014299
0.262458426,0.083124061,0.060751819,0.552284376,0.732705177,0.401120554
0.189556437,0.880687667,0.242073995,0.13710728,0.657357015,0.740825944
0.936009476,0.062370904,0.153456385,0.166465358,0.209704194,0.205750908
0.085280802,0.493894598,0.816009028,0.680065351,0.374598324,0.110901479
0.862268331,0.732783309,0.879031896,0.605813017,0.411074149,0.786553196
0.562042429,0.780851085,0.650629252,0.184647362,0.905116564,0.952765026
0.867411529,0.509486373,0.284524393,0.13866161,0.978639634,0.611162623
0.542424232,0.962467668,0.015965929,0.319576109,0.661428085,0.5608669
0.577391888,0.058703088,0.95433041,0.650750615,0.842852246,0.562043124
0.356291207,0.227323306,0.389943733,0.3049229,0.818972072,0.459898294
0.803024765,0.719185847,0.014674068,0.547555534,0.404826925,0.463379134
0.39674021,0.633474862,0.861273172,0.68496113,0.938667376,0.776343011
0.255065075,0.733806495,0.518360032,0.617000256,0.261740182,0.586324542
0.090451507,0.164427282,0.761872325,0.944724486,0.896678847,0.047538868
0.911087151,0.655229105,0.107580739,0.10068602,0.676699252,0.507492671
0.982568081,0.934424157,0.532356888,0.771336185,0.970372386,0.96284371
0.464477244,0.604311036,0.395977228,0.829228405,0.333870565,0.13853291
